Clause,Term,Opinion,Category,Category Score,Polarity,Polarity Score,Original Sentence
poor breakfast quality,breakfast,,Branding,0.36056146025657654,Negative,0.9997,"poor breakfast quality, unreliable Wi-Fi, and dirty pool"
unreliable Wi-Fi,Wi-Fi,unreliable,Service,0.5547148585319519,Negative,0.9994,"poor breakfast quality, unreliable Wi-Fi, and dirty pool"
dirty pool,pool,dirty,Experience,0.6557438373565674,Negative,0.9973,"poor breakfast quality, unreliable Wi-Fi, and dirty pool"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"uncomfortable beds, slow reservation system, and unresponsive staff"
slow reservation system,reservation system,slow,Facility,0.623451828956604,Negative,0.9977,"uncomfortable beds, slow reservation system, and unresponsive staff"
and unresponsive staff,staff,unresponsive,Service,0.678597092628479,Negative,0.9972,"uncomfortable beds, slow reservation system, and unresponsive staff"
disorganized breakfast service,service,"disorganized, noisy",Facility,0.7441354393959045,Negative,0.9994,"disorganized breakfast service, noisy rooms, and inadequate security"
noisy rooms,room,noisy,Facility,0.6811183094978333,Negative,0.9995,"disorganized breakfast service, noisy rooms, and inadequate security"
inadequate security,security,inadequate,Amenity,0.8801271319389343,Negative,0.9997,"disorganized breakfast service, noisy rooms, and inadequate security"
dirty fitness center,fitness center,dirty,Facility,0.7761760354042053,Negative,0.9851,"dirty fitness center, broken mobile app, and overpriced room rent"
broken mobile app,mobile app,broken,Facility,0.5952119827270508,Negative,0.9995,"dirty fitness center, broken mobile app, and overpriced room rent"
overpriced room rent,room,overpriced,Service,0.780066967010498,Negative,0.9985,"dirty fitness center, broken mobile app, and overpriced room rent"
slow check-in process,check-in,"slow, uncomfortable",Branding,0.3727894425392151,Negative,0.9987,"slow check-in process, uncomfortable beds, and unfriendly staff"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"slow check-in process, uncomfortable beds, and unfriendly staff"
unfriendly staff,staff,unfriendly,Amenity,0.561548113822937,Negative,0.9848,"slow check-in process, uncomfortable beds, and unfriendly staff"
messy breakfast area,,,Facility,0.5457960367202759,Negative,0.9995,"messy breakfast area, poor mobile accessibility, and noisy hallways"
poor mobile accessibility,,,Amenity,0.6298457384109497,Negative,0.9996,"messy breakfast area, poor mobile accessibility, and noisy hallways"
and noisy hallways,hallways,,Branding,0.6604306697845459,Negative,0.9993,"messy breakfast area, poor mobile accessibility, and noisy hallways"
unsecure payment system,payment system,unsecure,Amenity,0.7750296592712402,Negative,0.9947,"unsecure payment system, broken fitness center equipment, and disorganized front desk"
broken fitness center equipment,fitness center equipment,broken,Amenity,0.8444782495498657,Negative,0.9991,"unsecure payment system, broken fitness center equipment, and disorganized front desk"
disorganized front desk,front desk,disorganized,Facility,0.6611980199813843,Negative,0.9996,"unsecure payment system, broken fitness center equipment, and disorganized front desk"
poor meal options,meal,poor,Amenity,0.851027250289917,Negative,0.9997,"poor meal options, uncomfortable lounge chairs, and dirty rooms"
uncomfortable lounge chairs,"lounge,chairs",uncomfortable,Amenity,0.44537821412086487,Negative,0.9966,"poor meal options, uncomfortable lounge chairs, and dirty rooms"
dirty rooms,rooms,dirty,Facility,0.4985415041446686,Negative,0.9991,"poor meal options, uncomfortable lounge chairs, and dirty rooms"
inefficient reservation system,reservation system,inefficient,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, broken Wi-Fi, and unclean pool"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"inefficient reservation system, broken Wi-Fi, and unclean pool"
unclean pool,pool,unclean,Amenity,0.5168121457099915,Negative,0.9998,"inefficient reservation system, broken Wi-Fi, and unclean pool"
unfriendly staff,staff,unfriendly,Amenity,0.561548113822937,Negative,0.9848,"unfriendly staff, broken mobile app, and poor room cleanliness"
broken mobile app,mobile app,broken,Facility,0.5952119827270508,Negative,0.9995,"unfriendly staff, broken mobile app, and poor room cleanliness"
poor room cleanliness,room,poor,Facility,0.8386058807373047,Negative,0.9976,"unfriendly staff, broken mobile app, and poor room cleanliness"
slow mobile check-in,check-in,slow,Amenity,0.6588176488876343,Negative,0.9996,"slow mobile check-in, unresponsive maintenance team, and overpriced breakfast"
unresponsive maintenance team,maintenance team,unresponsive,Facility,0.85495924949646,Negative,0.9987,"slow mobile check-in, unresponsive maintenance team, and overpriced breakfast"
overpriced breakfast,breakfast,overpriced,Amenity,0.5597507357597351,Negative,0.999,"slow mobile check-in, unresponsive maintenance team, and overpriced breakfast"
disappointing meal quality,meal,disappointing,Branding,0.5727152824401855,Negative,0.9996,"disappointing meal quality, uncomfortable beds, and noisy air conditioning"
uncomfortable beds,bed,uncomfortable,Facility,0.7697746157646179,Negative,0.9985,"disappointing meal quality, uncomfortable beds, and noisy air conditioning"
noisy air conditioning,air conditioning,noisy,Facility,0.8313579559326172,Negative,0.9994,"disappointing meal quality, uncomfortable beds, and noisy air conditioning"
unreliable Wi-Fi,Wi-Fi,unreliable,Service,0.5547148585319519,Negative,0.9994,"unreliable Wi-Fi, poor breakfast service, and uncomfortable seating in lobby"
poor breakfast service,service,poor,Amenity,0.651931881904602,Negative,0.9998,"unreliable Wi-Fi, poor breakfast service, and uncomfortable seating in lobby"
uncomfortable seating in lobby,"seating,lobby",uncomfortable,Amenity,0.5897691249847412,Negative,0.9972,"unreliable Wi-Fi, poor breakfast service, and uncomfortable seating in lobby"
disorganized reservation management,reservation management,disorganized,Facility,0.8322353959083557,Negative,0.9993,"disorganized reservation management, broken gym equipment, and unclean pool"
broken gym equipment,gym equipment,broken,Facility,0.8648511171340942,Negative,0.9997,"disorganized reservation management, broken gym equipment, and unclean pool"
unclean pool,pool,unclean,Amenity,0.5168121457099915,Negative,0.9998,"disorganized reservation management, broken gym equipment, and unclean pool"
insecure payment system,payment system,insecure,Facility,0.7521743774414062,Negative,0.9993,"insecure payment system, broken mobile app, and disorganized breakfast area"
broken mobile app,mobile app,broken,Facility,0.5952119827270508,Negative,0.9995,"insecure payment system, broken mobile app, and disorganized breakfast area"
disorganized breakfast area,breakfast area,disorganized,Amenity,0.7416431307792664,Negative,0.999,"insecure payment system, broken mobile app, and disorganized breakfast area"
slow check-in,check-in,slow,Service,0.5123065114021301,Negative,0.9912,"slow check-in, uncomfortable beds, and unclean fitness center"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"slow check-in, uncomfortable beds, and unclean fitness center"
unclean fitness center,,unclean,Amenity,0.8199144601821899,Negative,0.9996,"slow check-in, uncomfortable beds, and unclean fitness center"
inefficient reservation system,reservation system,inefficient,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, dirty rooms, and noisy hallways"
dirty rooms,room,dirty,Facility,0.4985412061214447,Negative,0.9991,"inefficient reservation system, dirty rooms, and noisy hallways"
noisy hallways,hallway,noisy,Facility,0.8210734724998474,Negative,0.9996,"inefficient reservation system, dirty rooms, and noisy hallways"
unfriendly staff,staff,unfriendly,Amenity,0.561548113822937,Negative,0.9848,"unfriendly staff, broken Wi-Fi, and poor maintenance of facilities"
